G_name,RoomID,RoomName,BlogName,HotPoint
英雄联盟,8220630,网三 白银段最下饭老阿姨,恶龙咆哮Giao,12000.0
英雄联盟,8269654,下棋！！！！！！！！,新格吉诺,11000.0
英雄联盟,2431573,只为妖姬，再次绽放,不愿服输的张小健丶,11000.0
英雄联盟,431779,王者铁男 攻速流 带妹上分中！,741丶,11000.0
英雄联盟,5257712,丷 Hm8－曼巴狂蛇 包天新活动四月,丷Hm8,11000.0
英雄联盟,7346189,斗鱼第十男枪，不牵狗,lovy安德森,11000.0
英雄联盟,2527389,鹿白：征服者月男专场 厄斐琉斯,鹿白ADC,11000.0
英雄联盟,1026701,【美服】我的操作大概能让你吃两碗饭吧,BigDog李,11000.0
英雄联盟,4388490,豫A：全能光头哥的乱杀秀~,光头哥的乱杀秀,11000.0
英雄联盟,698072,4月底送王者号,机智的呆,11000.0
英雄联盟,6016170,Rush  B  克隆模式146P,巨兽zzp,11000.0
英雄联盟,4701732,小唐：早~李青专场,深圳唐伯虎A,11000.0
英雄联盟,1826960,峡谷之巅打野艾克钻石局,小圣斗宗,11000.0
英雄联盟,8449457,11:00开播 LOL云顶冲分！,Helon公子,11000.0
英雄联盟,8291443,开始了ADC单排之路，ad教学，喜欢请进,鸭王林某人,11000.0
英雄联盟,8374128,我感觉我能C,别急我还能混,10000.0
英雄联盟,7215355,黑色玫瑰：快来和我玩吧！,一根小雪糕y,10000.0
英雄联盟,101575,蛮王单英雄上王者，当前：黄金3,祖梦宇丶,10000.0
英雄联盟,6238149,赵信——奥德赛专场,MQ蜘蛛乐,10000.0
英雄联盟,7176222,电一云顶s3从零上王者~,阿亮ALL,10000.0
英雄联盟,1737702,岩雀King  一区钻石皇帝,我是初久我为自己代言,10000.0
英雄联盟,842443,教你如何快速攒游戏币,娇羞宝宝,10000.0
英雄联盟,664810,LPL春季赛英文解说,赛事专用直播间,10000.0
英雄联盟,8036575,欧服lol-又是头被锤烂的一天,好多只Tina,10000.0
英雄联盟,6540822,使命召唤16新主播希望大家来捧场,火奇奇,10000.0
英雄联盟,2845881,网一钻石局开饭,莫得感情的下饭机器,10000.0
